x0,y
0,5.778132038573075
1,1.9175242207632746
2,3.861980116428846
3,8.124831208472445
4,9.31220948203497
5,8.26803687595654
6,6.203817620225581
7,8.398966133720236
8,9.522223820701067
9,8.282190767183856
10,6.237096275727092
11,15.829901891542928
12,5.862359312607923
13,13.575478754264505
14,11.219013930995661
15,14.084199559735055
16,10.469095748386422
17,10.88034017841538
18,24.694854647272596
19,27.832238720347476
20,18.915981397783046
21,13.052992043147462
22,27.262631087620985
23,25.56038842170738
24,31.06980429984403
25,21.70715816432167
26,32.842947119742476
27,22.8247478443755
28,27.199697353421584
29,14.794840753078468
30,42.82494200822714
31,43.126219652152855
32,23.269507076759815
33,39.01985728872304
34,46.03630074852687
35,24.491010676588132
36,35.749377128136814
37,30.50068126265259
38,23.70202757011203
39,37.645567897489634
40,26.936228673296007
41,23.845283562124006
42,30.486368590591766
43,59.57369872169549
44,53.3934641716584
45,46.32455176617309
46,59.73052368208727
47,37.04384608078857
48,43.06213995542656
49,73.56096896013133
50,63.727882195019454
51,48.718314291794684
52,58.50866007526682
53,51.99175830272988
54,51.69862938951777
55,56.85052753239351
56,42.712309793801815
57,54.14995545916851
58,35.98817741285321
59,61.78295197269781
60,54.51326009482074
61,69.51486407766208
62,88.38928754832041
63,58.632891693782405
64,91.10440393892878
65,95.678032348653
66,108.49135954949318
67,101.5223360534237
68,56.139893987667726
69,105.66482400077238
70,91.2523781297203
71,59.40487783286654
72,120.0379205376953
73,65.37097664060042
74,82.56946953879459
75,128.13857522331804
76,82.77936208573988
77,107.50922014862839
78,115.88196961589593
79,86.71436543139896
80,114.80668447010666
81,86.78770049779169
82,95.97348275892337
83,75.73532233929791
84,124.16641231971462
85,147.87990589038824
86,111.13272040748112
87,113.88063504520663
88,166.611533884911
89,164.85918200092814
90,149.59445905239363
91,130.32551723119883
92,118.77100754150315
93,160.60405603136172
94,176.19207858290267
95,155.4675085057056
96,118.89747431955065
97,129.8839592854862
98,177.64092926812273
99,119.09102506440242
